step_number,time_elapsed,mean_reward,std_of_reward,cpu_percent,cpu_source,ram_percent,ram_source,ram_mb
0,0.0,,,,system,47.9,system,
10000,12.532,1.184,0.703,18.077272727272728,process_tree,6.6,process_tree,1046.89
20000,20.259,1.232,0.716,18.245454545454546,process_tree,6.61,process_tree,1048.65
30000,29.001,1.415,0.859,18.245454545454546,process_tree,6.61,process_tree,1048.87
40000,36.142,1.679,1.054,18.077272727272728,process_tree,6.61,process_tree,1048.82
50000,44.705,2.034,1.321,16.29090909090909,process_tree,6.61,process_tree,1049.09
60000,53.073,2.602,1.729,18.245454545454546,process_tree,6.61,process_tree,1048.69
70000,60.482,3.236,2.536,19.36818181818182,process_tree,6.61,process_tree,1048.97
80000,68.682,4.22,3.216,18.245454545454546,process_tree,6.61,process_tree,1048.66
90000,76.154,4.855,4.216,18.245454545454546,process_tree,6.61,process_tree,1048.94
100000,84.22,6.703,6.622,18.077272727272728,process_tree,6.62,process_tree,1050.01
110000,90.836,9.165,8.843,17.59090909090909,process_tree,6.62,process_tree,1049.88
120000,97.824,9.463,9.59,13.027272727272726,process_tree,6.62,process_tree,1049.98
130000,105.516,12.368,9.84,16.286363636363635,process_tree,6.62,process_tree,1050.34
140000,113.649,16.808,12.866,18.081818181818182,process_tree,6.62,process_tree,1051.14
150000,121.333,18.212,14.107,24.068181818181817,process_tree,6.62,process_tree,1050.54
160000,129.301,17.502,13.943,22.222727272727273,process_tree,6.62,process_tree,1051.04
170000,137.083,26.659,20.079,31.80909090909091,process_tree,6.63,process_tree,1051.43
180000,144.099,27.947,23.4,20.700000000000003,process_tree,6.63,process_tree,1051.32
190000,151.329,31.148,29.35,23.895454545454548,process_tree,6.63,process_tree,1051.45
200000,159.199,27.274,21.649,30.6,process_tree,6.62,process_tree,1051.23
210000,167.029,27.29,23.521,20.19545454545454,process_tree,6.63,process_tree,1051.54
220000,174.664,73.45,30.311,28.654545454545453,process_tree,6.63,process_tree,1052.08
230000,181.751,44.328,34.437,36.949999999999996,process_tree,6.52,process_tree,1034.11
240000,189.353,69.531,35.177,22.013636363636362,process_tree,6.51,process_tree,1033.23
250000,196.817,27.607,24.946,26.69090909090909,process_tree,6.51,process_tree,1033.83
260000,204.412,63.486,42.551,24.09090909090909,process_tree,6.51,process_tree,1033.75
270000,212.359,70.586,29.446,31.922727272727272,process_tree,6.52,process_tree,1034.15
280000,219.994,47.19,29.471,24.736363636363638,process_tree,6.51,process_tree,1033.67
290000,227.865,36.431,27.42,24.75,process_tree,6.51,process_tree,1033.13
300000,235.986,78.68,33.203,23.431818181818183,process_tree,6.51,process_tree,1033.47
310000,243.943,57.243,39.36,22.131818181818183,process_tree,6.52,process_tree,1034.3
320000,249.912,56.864,34.989,17.431818181818183,process_tree,6.52,process_tree,1033.87
330000,258.171,68.282,38.132,18.077272727272728,process_tree,6.51,process_tree,1033.85
340000,266.026,48.313,37.177,16.790909090909093,process_tree,6.52,process_tree,1034.49
350000,273.334,40.293,28.047,18.895454545454545,process_tree,6.52,process_tree,1034.21
360000,281.209,59.629,39.703,20.2,process_tree,6.51,process_tree,1033.79
370000,288.493,55.483,39.375,24.75454545454545,process_tree,6.51,process_tree,1033.21
380000,296.388,66.631,34.823,19.395454545454548,process_tree,6.51,process_tree,1033.7
390000,304.218,71.68,34.752,19.37727272727273,process_tree,6.53,process_tree,1035.68
400000,311.688,97.59,7.23,32.93181818181818,process_tree,6.53,process_tree,1036.13
410000,319.717,87.686,26.426,22.64090909090909,process_tree,6.52,process_tree,1034.36
420000,327.235,85.9,22.354,24.6,process_tree,6.52,process_tree,1035.26
430000,335.255,91.9,16.15,29.85909090909091,process_tree,6.53,process_tree,1035.62
440000,343.219,83.454,30.668,30.65909090909091,process_tree,6.52,process_tree,1034.66
450000,349.992,48.384,38.224,38.9,process_tree,6.52,process_tree,1034.58
460000,357.93,33.157,24.355,28.99090909090909,process_tree,6.52,process_tree,1034.8
470000,365.071,57.593,34.691,31.90909090909091,process_tree,6.53,process_tree,1035.91
480000,372.653,81.393,34.59,22.304545454545455,process_tree,6.52,process_tree,1034.94
490000,380.174,75.2,34.54,33.85909090909091,process_tree,6.52,process_tree,1034.96
500000,387.198,62.1,40.877,3.2590909090909093,process_tree,6.64,process_tree,1053.55
510000,395.87,93.578,18.165,18.886363636363633,process_tree,6.97,process_tree,1105.97
520000,402.714,63.376,39.848,24.71363636363636,process_tree,6.97,process_tree,1106.7
530000,409.237,72.408,37.299,18.245454545454546,process_tree,6.97,process_tree,1106.75
540000,416.888,92.245,24.522,18.077272727272728,process_tree,6.97,process_tree,1105.62
550000,424.135,96.645,10.608,15.495454545454544,process_tree,6.97,process_tree,1106.22
560000,431.729,82.108,29.023,18.245454545454546,process_tree,6.97,process_tree,1106.66
570000,438.526,100.0,0.0,31.10909090909091,process_tree,6.97,process_tree,1106.78
580000,446.455,97.818,6.9,14.55909090909091,process_tree,6.97,process_tree,1105.59
590000,454.363,100.0,0.0,21.504545454545454,process_tree,6.97,process_tree,1105.62
600000,462.057,100.0,0.0,25.190909090909088,process_tree,6.97,process_tree,1106.27
610000,469.174,95.63,13.11,33.595454545454544,process_tree,6.97,process_tree,1106.55
620000,476.902,100.0,0.0,25.386363636363637,process_tree,6.97,process_tree,1106.59
630000,484.593,95.133,14.616,29.88181818181818,process_tree,6.97,process_tree,1106.24
640000,491.911,81.745,31.526,19.536363636363635,process_tree,6.97,process_tree,1105.89
650000,499.517,100.0,0.0,31.763636363636362,process_tree,6.97,process_tree,1106.32
660000,507.669,100.0,0.0,25.40909090909091,process_tree,6.97,process_tree,1105.52
670000,515.66,100.0,0.0,33.731818181818184,process_tree,6.97,process_tree,1106.52
680000,522.796,100.0,0.0,26.69090909090909,process_tree,6.97,process_tree,1105.88
690000,530.412,100.0,0.0,20.186363636363634,process_tree,6.97,process_tree,1106.27
